YearMonth,Prec(mm)
Oct-93,15.4
Nov-93,66.6
Dec-93,12.1
Jan-94,6.5
Feb-94,14.8
Mar-94,31.7
Apr-94,44.9
May-94,152.4
Jun-94,85
Jul-94,139.5
Aug-94,232.7
Sep-94,60.7
Oct-94,214.5
Nov-94,49.6
Dec-94,23.5
Jan-95,11.6
Feb-95,5.2
Mar-95,60.6
Apr-95,44.4
May-95,60.6
Jun-95,70.7
Jul-95,436.1
Aug-95,786.6
Sep-95,47.2
Oct-95,39.3
Nov-95,32.9
Dec-95,3.4
Jan-96,16.3
Feb-96,1
Mar-96,77.9
Apr-96,62
May-96,29.3
Jun-96,249.7
Jul-96,512.8
Aug-96,132.4
Sep-96,11
Oct-96,90.3
Nov-96,62.9
Dec-96,11
Jan-97,16.8
Feb-97,39.6
Mar-97,25.3
Apr-97,56.1
May-97,291.3
Jun-97,110
Jul-97,299.6
Aug-97,117.2
Sep-97,76.9
Oct-97,45.5
Nov-97,93.8
Dec-97,38.1
Jan-98,10.4
Feb-98,32.3
Mar-98,45.1
Apr-98,120.2
May-98,121.5
Jun-98,234.1
Jul-98,311.8
Aug-98,1237.8
Sep-98,177.9
Oct-98,27.4
Nov-98,26.9
Dec-98,3.7
Jan-99,10.2
Feb-99,2.9
Mar-99,55
Apr-99,97.2
May-99,109.7
Jun-99,131.8
Jul-99,230.4
Aug-99,600.5
Sep-99,377.3
Oct-99,81.6
Nov-99,19.5
Dec-99,17
Jan-00,42.8
Feb-00,2.1
Mar-00,3.1
Apr-00,30.7
May-00,75.2
Jun-00,68.1
Jul-00,114.7
Aug-00,599.4
Sep-00,178.5
Oct-00,18.1
Nov-00,27.1
Dec-00,27
01-Jan,39.4
01-Feb,45.7
01-Mar,18.1
01-Apr,12.3
01-May,16.5
01-Jun,157.4
01-Jul,698.4
01-Aug,252
01-Sep,49.3
01-Oct,68.2
01-Nov,13
01-Dec,15.7
02-Jan,37.4
02-Feb,2.4
02-Mar,31.5
02-Apr,155.1
02-May,58
02-Jun,61.4
02-Jul,220.6
02-Aug,688
02-Sep,61.1
02-Oct,45
02-Nov,12.5
02-Dec,15
03-Jan,14.1
03-Feb,39.6
03-Mar,26.8
03-Apr,139.6
03-May,106
03-Jun,156
03-Jul,469.8
03-Aug,684.2
03-Sep,258.2
03-Oct,41.5
03-Nov,69.3
03-Dec,6.9
04-Jan,19.8
04-Feb,54.6
04-Mar,27.6
04-Apr,74.1
04-May,168.5
04-Jun,138.1
04-Jul,510.7
04-Aug,193.3
04-Sep,198.7
04-Oct,6.5
04-Nov,80
04-Dec,27.2
05-Jan,4.5
05-Feb,17.2
05-Mar,12.5
05-Apr,94.7
05-May,85.8
05-Jun,168.5
05-Jul,269.4
05-Aug,285
05-Sep,313.3
05-Oct,52.6
05-Nov,44.6
05-Dec,10.3
06-Jan,34.3
06-Feb,15.7
06-Mar,14
06-Apr,51.8
06-May,156.2
06-Jun,168.5
06-Jul,1014
06-Aug,121.2
06-Sep,11.1
06-Oct,30.2
06-Nov,47.6
06-Dec,17.3
07-Jan,10.8
07-Feb,12.6
07-Mar,123.5
07-Apr,41.1
07-May,137.6
07-Jun,54.5
07-Jul,274.1
07-Aug,237.6
07-Sep,241.9
07-Oct,39.5
07-Nov,26.4
07-Dec,12.7
08-Jan,17.7
08-Feb,15
08-Mar,53.9
08-Apr,38.5
08-May,97.7
08-Jun,165
08-Jul,530.8
